component_id,size_rank,canonical_accession,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_accessions
C001,1,5ZOA_A,282,84,1;20;35,3.40.50.1820,5ZOA_A;7CUV_A;7NEI;A0A031MKR8;A0A078MGG8;A0A0G3BI90_9BURK;A0A0K8P6T7;A0A1F4JXW8;A0A1H6AD45;A0A1Z2SIQ1_VIBGA;A4W93_05950;AAZ54920.1;ABP86951;ACC95208.1;ACV09511;ACY95991.1;ADK73612;ADM47605.1;ADV66860.1;ADV92525.1;ADV92526.1;ADV92527.1;ADV92528.1;AET05799.1;AEV21261.1;AFA45122.1;AGT96415;AJ810119;ATH80290;BAB86909;BAI99230;BAK48590.1;CBY05530;CCH19814.1;CCK74972.1;D1A9G5;DAC80635;E5BBQ2;EGD44994.1;GBD22443;GFJ87714.1;GGO06455.1;GGR16917.1;GHJ08786.1;GIG90696.1;GIU85367.1;GIU85371.1;JGI20132J14458_10325381;JzSedJan11_10004914;KNX38636.1;KPI12031.1;KPI31299.1;KU695573;KZY99137.1;MBA55398.1;MBE65357.1;MBF9135495.1;MBJ7347705.1;MBN1171866.1;MBN2622270.1;MBO4274871.1;MBO9532528.1;MBO9569276.1;MBT8227529.1;MBT9528079.1;MBW4703769.1;MBX2857432.1;MBX3621832.1;MBX3624429.1;MBX3625601.1;MCF0091346.1;MEC8523093;MGYP000221121644;MGYP000271253724;MGYP000321434903;MGYP000532440779;MGYP001121581011;MGYP001477358452;MGYP001489421514;MPZ00478.1;MTK05241.1;N20M5AZM016;NUT34383.1;ODU60407.1;OK558824;OK558825;OKK16161.1;OPG10926.1;P19833;PWR09075.1;QPA27412.1;RGD93181;RLI42440.1;RLT92980.1;RLU00646.1;RZL02950.1;SAY37579.1;SAY37582.1;SAY37583.1;SAY37584.1;SAY37587;SAY37589;SDZ16714.1;SHM40309;SJZ42839.1;SPF04022.1;SUD16364;TDP67440;TQL66274.1;TWG17167.1;UAC02078.1;W0TJ64;WAU86704;WBC00352.1;WKW63607.1;WKW63608.1;WNY00484.1;WOR09923;WP_008690040.1;WP_013736455.1;WP_013858543.1;WP_018657411.1;WP_019629726.1;WP_019633337.1;WP_031525917.1;WP_035284691;WP_039353427;WP_045318561.1;WP_051808300.1;WP_058088494.1;WP_062195544.1;WP_065917710.1;WP_067035690.1;WP_068752972.1;WP_068824797.1;WP_073887759.1;WP_075737041.1;WP_075975245.1;WP_078844206.1;WP_081971423.1;WP_082377728.1;WP_082403176.1;WP_083302694.1;WP_083947829;WP_083950838.1;WP_084261341.1;WP_084400763.1;WP_084434874.1;WP_084578793.1;WP_085749238;WP_085750434.1;WP_086599340.1;WP_086668955.1;WP_086784246.1;WP_086849962.1;WP_088988822.1;WP_089021493.1;WP_090538641;WP_091283529.1;WP_091317053.1;WP_091450391.1;WP_091553551.1;WP_092528534.1;WP_093411427.1;WP_093412886.1;WP_093473685.1;WP_093954453.1;WP_099848711.1;WP_101366623.1;WP_101893509.1;WP_103564314.1;WP_103939557.1;WP_104115406.1;WP_104613137.1;WP_104739856.1;WP_107095481.1;WP_109361459.1;WP_109639600.1;WP_110080872.1;WP_110567505.1;WP_111214096.1;WP_111700265.1;WP_111881932;WP_112669767.1;WP_116023875.1;WP_116180173.1;WP_116813002.1;WP_117215036.1;WP_118011433;WP_120326365.1;WP_123685830.1;WP_124770494.1;WP_124822775.1;WP_125191182.1;WP_125313231.1;WP_129786244.1;WP_129849678.1;WP_130342639;WP_130401777.1;WP_130464304.1;WP_131056699.1;WP_132183354.1;WP_132337032.1;WP_132386942.1;WP_132413760.1;WP_137976057.1;WP_139580723.1;WP_139584963.1;WP_141569747.1;WP_141984372.1;WP_142197250.1;WP_143447025.1;WP_143590710.1;WP_144022925.1;WP_144126986.1;WP_145923095.1;WP_149259982.1;WP_150070118.1;WP_151597653.1;WP_155388305.1;WP_158643351.1;WP_158852571.1;WP_161104454.1;WP_162908185.1;WP_164449727.1;WP_167521412.1;WP_173061649.1;WP_181548579.1;WP_182904095.1;WP_184682765.1;WP_187224800.1;WP_199199185.1;WP_203733135.1;WP_203777396.1;WP_203790592.1;WP_203812622.1;WP_203847453.1;WP_203906211.1;WP_204038550.1;WP_209642273.1;WP_210157342.1;WP_211769896.1;WP_212846608.1;WP_218517662.1;WP_218920366.1;WP_220815207;WP_221382552.1;WP_229068674.1;WP_229836555.1;WP_232326807.1;WP_233427406.1;WP_233604767.1;WP_233872418.1;WP_239086781.1;WP_239095870.1;WP_239125827.1;WP_239135698.1;WP_247056560.1;WP_247684544.1;WP_250563816.1;WP_252275389.1;WP_252811421.1;WP_253762837.1;WP_256510026.1;WP_256510519.1;WP_260422593.1;WP_260709492.1;WP_264933993.1;WP_265247586.1;WP_267938240.1;WP_269740835.1;WP_271190254.1;WP_281901711.1;WP_307855560.1;XCO66867;XDS72785.1;YCL34723;YNP18_240440;YNPsite05_CeleraDRAFT_401410;YNPsite06_CeleraDRAFT_160970;YNPsite06_CeleraDRAFT_367810;jmPE13
C006,2,A0A1Q3SHB0,48,6,9,3.60.70.12,A0A1Q3SHB0;A0A1Y4BJH4;A0A2E3XQJ6;A0A315R6Z8;A0A351YZM4;A0A368EC02;A0A3D1YDR8;A0A3D4HM79;A0A3M1X2K7;A0A432H965;A0A661XAJ6;A0A6A7M915;A0A6I1QW75;A0A7C3G8G6;A0A7C6SQZ1;A0A7C7DKE8;A0A7V5VEC1;A0A7V9NEU5;A0A7W0NYQ1;A0A7W8QII1;A0A7X7N2B0;A0A840P940;BAE95769.2;BAE95770.1;KQR39103;KXS08985;MSS57807;NYLC_FLASK;OWT56952;PSR30050;PWX09261.1;R5FI29;RYL92504.1;TAL40028;U7UHN3;WP_010949597.1;WP_014810472.1;WP_068749367;WP_073391230.1;WP_075885500.1;WP_082766707.1;WP_131292212.1;WP_170196788.1;WP_170322449.1;XHH12374;XHH12375;XHH12378;XP_005707592.1
C013,3,AAA25908.1,19,17,10,3.90.1300.10,AAA25908.1;AAK11724.1;AAK28498.1;AGT90042.1;ANG60415;ARF18137.1;BAI44731;BBP47208;NYLA_FLASK;OP972509;OP972510;OP972511;P80008.1;Q12559;WP_011209364.1;WP_185053500;WP_293218050.1;WP_348608127.1;WZH92451.1
C003,4,A0A060N399,16,16,2,3.40.50.1820,A0A060N399;A0A060N5H2;A0A075B5G4;A0A0P0ZE81;A0A7I8E2Z4;AAA33335.1;AB102945.1;AB739034;ESK97883;EXK81749;KAH7127633;P52956;Q99174;QEX94755.1;WKA69984.1;XAQ58225
C009,5,A0A2I2K6T5,16,13,23,3.40.50.1820,A0A2I2K6T5;ADH43200.1;AKJ87216;ALS54749.1;ALS54749.1;BAA76305.1;CAA34684;L0EF70;P20261;UNZ81746;UNZ81748;WDT94064;WID88783;WP_041847557;YNP6_02150;YNPsite06_CeleraDRAFT_263770
C017,6,AAR25849.1,11,5,16,NA,AAR25849.1;AFA76036.1;H6N162;MT664881;MT664882;Q3L8N0;UFE15760.1;UFE15761.1;UFE15762.1;UFE15763.1;UFE15764.1
C008,7,A0A291HVH1,8,5,21,3.40.50.1820,A0A291HVH1;BAU20375;CAA32820.1;CAB56500;P00780;P29599;P29600;WP_378272130.1
C010,8,A4UZ10,6,6,25,3.40.50.1820,A4UZ10;A4UZ11;AKZ20828.1;AKZ20829.1;EIW29778.1;WP_108898452
C012,9,AAA21974.1,5,3,27;30,3.40.50.1820,AAA21974.1;AAA65705.1;B2NHN2;BAA19791.1;P94146
C015,10,AAD22743.1,5,5,4,3.40.50.1820,AAD22743.1;AAF01331.1;AAF66684.1;AAY92471.1;AAY92474.2
